title,company_name,city,seniority_level,salary_min,salary_max
"Senior Data Analyst, Customer Care Analytics",GetYourGuide,Berlin,Senior,,
(Senior) Data Analyst (w/m/d),MSR Consulting Group,Köln,Senior,,
Data Analyst HR (m/f/d),Redcare Pharmacy,Altstadt-Nord,Middle or undefined,,
CRM Data Analyst (m/w/d),Deichmann,Bedingrade,Middle or undefined,,
Investment Data Analyst (m/w/d),IDS GmbH - Analysis and Reporting Servic,München,Middle or undefined,,
Senior Data Analyst (m/w/d),TKMS GmbH,Hamburg,Senior,,
Business Data Analyst (m/w/d),Unique Professionals eine Marke der Unique Personalservice GmbH,Oerlinghausen,Middle or undefined,,
Senior Data Analyst (m/f/d),Yepoda,Berlin,Senior,,
Data Analyst mit Schwerpunkt Power BI (all genders),Inovisco Mobile Media GmbH,Köln,Middle or undefined,,
Senior Data Analyst - Sales (f/m/x),exmox,Hamburg,Senior,,
(Senior) Energy Data Analyst (d/f/m),Entrix,München,Senior,80.0,100.0
Senior Marketing Data Analyst (d/f/m),Taxfix,Berlin,Senior,,
Senior Data Analyst I (m/f/d),RELX INC,Frankfurt am Main,Senior,,
(Senior) Operations Data Analyst (m/w/d),flaschenpost,Münster,Senior,,
Data Analyst & Anwendungsbetreuer im Controlling (m/w/d),Faszination,Köln,Middle or undefined,,
Senior Energy Data Analyst (d/f/m),Flexa,München,Senior,85000.0,110000.0
Junior Data Analyst Migration (w/m/d),Simovative,München,Junior,,
Senior Marketing Data Analyst (f/m/x),exmox,Hamburg,Senior,,
Senior Data Analyst - Product (f/m/x),exmox,Hamburg,Senior,,
Senior Marketing Data Analyst (m/f/d),AutoScout24,München,Senior,,
Data Analyst / Reporting Specialist (m/w/d),Duisburger Versorgungs- und Verkehrsgesellschaft mbH,Duisburg,Middle or undefined,,
Data Analyst / Analytics Engineer (m/w/d),fair parken,Düsseldorf,Middle or undefined,,
Data Analyst - BI Plattform (m/w/d),Bundesdruckerei,Berlin,Middle or undefined,,
Senior Marketing Data Analyst (m/w/d),Yousician,Berlin,Senior,,
(Junior) Data Analyst Campaigning (w/m/d),freenet DLS,Hamburg,Junior,,
Working Student - Data Analyst (f/m/d),applike group,Hamburg,Middle or undefined,,
(Senior) Financial Data Analyst (f/m/d),Westbridge Gruppe,Frankfurt am Main,Senior,,
Data Analyst mit Schwerpunkt Power BI (all genders),Digooh,Köln,Middle or undefined,,
Data Analyst (m/w/d) mit Schwerpunkt Energiedaten,VEA,Region Hannover (Kreis),Middle or undefined,,
Senior Business & Data Analyst (m/w/d),Seier Holding & Co. KG,Lehe,Senior,,
Data Analyst Power BI (m/w/d),Hays,Hamburg,Middle or undefined,,
Data Analyst Facility Management (m/w/d),Schwarz Corporate Solutions,Neckarsulm,Middle or undefined,,
Expert Customer Data Analyst (m/w/d),Vodafone,Düsseldorf,Senior,,
Expert Data Analyst – Logistics Processes (all genders),Gelita AG,Eberbach,Senior,,
Data Analyst - focus Finance (m/f/d),Redcare Pharmacy,Altstadt-Nord,Middle or undefined,,
Working Student Data Analyst (m/w/d),Coty,Darmstadt,Middle or undefined,,
Working Student Data Analyst (m/w/d),Coty,Darmstadt,Middle or undefined,,
Data Analyst Customer Interactions (w/m/d),ING,Frankfurt am Main,Middle or undefined,,
Data Analyst mit Schwerpunkt Power BI (all genders),Invisco,Köln,Middle or undefined,,
Data Analyst - Advanced Analytics (m/w/d),Schwarz Corporate Solutions,Neckarsulm,Middle or undefined,,
Data Analyst / Spezialist Datenmanagement (m/w/d),Haema,Zentrum,Middle or undefined,,
CRM Application & Data Analyst (m/w/d),DERTOUR Group,Frankfurt am Main,Middle or undefined,,
Controller / Data Analyst (m/w/d) im Lebensmittelhandel,dennree GmbH,Feilitzsch,Middle or undefined,,
Business Intelligence Manager / Data Analyst (m/w/d),Legalhero,Berlin,Senior,,
Senior Financial Data Analyst & Controller (m/f/d),OMMAX,München,Senior,,
Data Analyst (m/w/d) – Industrial & Automotive Consulting,DRIVE Consulting,München,Middle or undefined,,
Senior BI Manager & Data Analyst (M/W/D),Lifestyle Clubs Concepts GmbH,München,Senior,,
Data Analyst (m/w/d) für die Abteilung „Immobilienverwaltung und Realkredite“,VOLKSWOHL BUND Lebensversicherung a. G.,Berlin,Middle or undefined,,
Data Analyst (m/w/d) – Industrial & Automotive Consulting,DRIVE Consulting,Berlin,Middle or undefined,,
Data Analyst (m/w/d) – Industrial & Automotive Consulting,DRIVE Consulting,Laurensberg,Middle or undefined,,
(Senior) Data Analyst/in (m/w/d) SAS in München,empiricus,München,Senior,60000.0,89961.0
